Código,Cantón,Nombre
10101,101,Carmen
10102,101,Merced
10103,101,Hospital
10104,101,Catedral
10105,101,Zapote
10106,101,San Francisco de Dos Ríos
10107,101,Uruca
10108,101,Mata Redonda
10109,101,Pavas
10110,101,Hatillo
10111,101,San Sebastián
10201,102,Escazú
10202,102,San Antonio
10203,102,San Rafael
10301,103,Desamparados
10302,103,San Miguel
10303,103,San Juan de Dios
10304,103,San Rafael Arriba
10305,103,San Antonio
10306,103,Frailes
10307,103,Patarrá
10308,103,San Cristóbal
10309,103,Rosario
10310,103,Damas
10311,103,San Rafael Abajo
10312,103,Gravilias
10313,103,Los Guido
10401,104,Santiago
10402,104,Mercedes Sur
10403,104,Barbacoas
10404,104,Grifo Alto
10405,104,San Rafael
10406,104,Candelarita
10407,104,Desamparaditos
10408,104,San Antonio
10409,104,Chires
10501,105,San Marcos
10502,105,San Lorenzo
10503,105,San Carlos
10601,106,Aserrí
10602,106,Tarbaca
10603,106,Vuelta de Jorco
10604,106,San Gabriel
10605,106,Legua
10606,106,Monterrey
10607,106,Salitrillos
10701,107,Colón
10702,107,Guayabo
10703,107,Tabarcia
10704,107,Piedras Negras
10705,107,Picagres
10706,107,Jaris
10801,108,Guadalupe
10802,108,San Francisco
10803,108,Calle Blancos
10804,108,Mata de Plátano
10805,108,Ipís
10806,108,Rancho Redondo
10807,108,Purral
10901,109,Santa Ana
10902,109,Salitral
10903,109,Pozos
10904,109,Uruca
10905,109,Piedades
10906,109,Brasil
11001,110,Alajuelita
11002,110,San Josecito
11003,110,San Antonio
11004,110,Concepción
11005,110,San Felipe
11101,111,San Isidro
11102,111,San Rafael
11103,111,Dulce Nombre de Jesús
11104,111,Patalillo
11105,111,Cascajal
11201,112,San Ignacio
11202,112,Guaitil
11203,112,Palmichal
11204,112,Cangrejal
11205,112,Sabanillas
11301,113,San Juan
11302,113,Cinco Esquinas
11303,113,Anselmo Llorente
11304,113,León XIII
11305,113,Colima
11401,114,San Vicente
11402,114,San Jerónimo
11403,114,La Trinidad
11501,115,San Pedro
11502,115,Sabanilla
11503,115,Mercedes
11504,115,San Rafael
11601,116,San Pablo
11602,116,San Pedro
11603,116,San Juan de Mata
11604,116,San Luis
11605,116,Carara
11701,117,Santa María
11702,117,Jardín
11703,117,Copey
11801,118,Curridabat
11802,118,Granadilla
11803,118,Sánchez
11804,118,Tirrases
11901,119,San Isidro de El General
11902,119,General
11903,119,Daniel Flores
11904,119,Rivas
11905,119,San Pedro
11906,119,Platanares
11907,119,Pejibaye
11908,119,Cajón
11909,119,Barú
11910,119,Río Nuevo
11911,119,Páramo
12001,120,San Pablo
12002,120,San Andrés
12003,120,Llano Bonito
12004,120,San Isidro
12005,120,Santa Cruz
12006,120,San Antonio
20101,201,Alajuela
20102,201,San José
20103,201,Carrizal
20104,201,San Antonio
20105,201,Guácima
20106,201,San Isidro
20107,201,Sabanilla
20108,201,San Rafael
20109,201,Río Segundo
20110,201,Desamparados
20111,201,Turrúcares
20112,201,Tambor
20113,201,Garita
20114,201,Sarapiquí
20201,202,San Ramón
20202,202,Santiago
20203,202,San Juan
20204,202,Piedades Norte
20205,202,Piedades Sur
20206,202,San Rafael
20207,202,San Isidro
20208,202,Los Ángeles
20209,202,Alfaro
20210,202,Volio
20211,202,Concepción
20212,202,Zapotal
20213,202,Peñas Blancas
20301,203,Grecia
20302,203,San Isidro
20303,203,San José
20304,203,San Roque
20305,203,Tacares
20306,203,Río Cuarto
20307,203,Puente de Piedra
20308,203,Bolívar
20401,204,San Mateo
20402,204,Desmonte
20403,204,Jesús María
20501,205,Atenas
20502,205,Jesús
20503,205,Mercedes
20504,205,San Isidro
20505,205,Concepción
20506,205,San José
20507,205,Santa Eulalia
20508,205,Escobal
20601,206,Naranjo
20602,206,San Miguel
20603,206,San José
20604,206,Cirrí Sur
20605,206,San Jerónimo
20606,206,San Juan
20607,206,El Rosario
20608,206,Palmitos
20701,207,Palmares
20702,207,Zaragoza
20703,207,Buenos Aires
20704,207,Santiago
20705,207,Candelaria
20706,207,Esquipulas
20707,207,La Granja
20801,208,San Pedro
20802,208,San Juan
20803,208,San Rafael
20804,208,Carrillos
20805,208,Sabana Redonda
20901,209,Orotina
20902,209,El Mastate
20903,209,Hacienda Vieja
20904,209,Coyolar
20905,209,La Ceiba
21001,210,Quesada
21002,210,Florencia
21003,210,Buenavista
21004,210,Aguas Zarcas
21005,210,Venecia
21006,210,Pital
21007,210,La Fortuna
21008,210,La Tigra
21009,210,La Palmera
21010,210,Venado
21011,210,Cutris
21012,210,Monterrey
21013,210,Pocosol
21101,211,Zarcero
21102,211,Laguna
21103,211,Tapesco
21104,211,Guadalupe
21105,211,Palmira
21106,211,Zapote
21107,211,Brisas
21201,212,Sarchí Norte
21202,212,Sarchí Sur
21203,212,Toro Amarillo
21204,212,San Pedro
21205,212,Rodríguez
21301,213,Upala
21302,213,Aguas Claras
21303,213,San José (Pizote)
21304,213,Bijagua
21305,213,Delicias
21306,213,Dos Ríos
21307,213,Yoliyllal
21401,214,Los Chiles
21402,214,Caño Negro
21403,214,El Amparo
21404,214,San Jorge
21501,215,San Rafael
21502,215,Buenavista
21503,215,Cote
21504,215,Katira
30101,301,Oriental
30102,301,Occidental
30103,301,Carmen
30104,301,San Nicolás
30105,301,Aguacaliente (San Francisco)
30106,301,Guadalupe (Arenilla)
30107,301,Corralillo
30108,301,Tierra Blanca
30109,301,Dulce Nombre
30110,301,Llano Grande
30111,301,Quebradilla
30201,302,Paraíso
30202,302,Santiago
30203,302,Orosi
30204,302,Cachí
30205,302,Llanos de Santa Lucía
30301,303,Tres Ríos
30302,303,San Diego
30303,303,San Juan
30304,303,San Rafael
30305,303,Concepción
30306,303,Dulce Nombre
30307,303,San Ramón
30308,303,Río Azul
30401,304,Juan Viñas
30402,304,Tucurrique
30403,304,Pejibaye
30501,305,Turrialba
30502,305,La Suiza
30503,305,Peralta
30504,305,Santa Cruz
30505,305,Santa Teresita
30506,305,Pavones
30507,305,Tuis
30508,305,Tayutic
30509,305,Santa Rosa
30510,305,Tres Equis
30511,305,La Isabel
30512,305,Chirripó
30601,306,Pacayas
30602,306,Cervantes
30603,306,Capellades
30701,307,San Rafael
30702,307,Cot
30703,307,Potrero Cerrado
30704,307,Cipreses
30705,307,Santa Rosa
30801,308,El Tejar
30802,308,San Isidro
30803,308,Tobosi
30804,308,Patio de Agua
40101,401,Heredia
40102,401,Mercedes
40103,401,San Francisco
40104,401,Ulloa
40105,401,Varablanca
40201,402,Barva
40202,402,San Pedro
40203,402,San Pablo
40204,402,San Roque
40205,402,Santa Lucía
40206,402,San José de la Montaña
40301,403,Santo Domingo
40302,403,San Vicente
40303,403,San Miguel
40304,403,Paracito
40305,403,Santo Tomás
40306,403,Santa Rosa
40307,403,Tures
40308,403,Para
40401,404,Santa Bárbara
40402,404,San Pedro
40403,404,San Juan
40404,404,Jesús
40405,404,Santo Domingo
40406,404,Puraba
40501,405,San Rafael
40502,405,San Josécito
40503,405,Santiago
40504,405,Los Ángeles
40505,405,Concepción
40601,406,San Isidro
40602,406,San José
40603,406,Concepción
40604,406,San Francisco
40701,407,San Antonio
40702,407,La Ribera
40703,407,La Asunción
40801,408,San Joaquín de Flores
40802,408,Barrantes
40803,408,Llorente
40901,409,San Pablo
40902,409,Rincón de Sabanilla
41001,410,Puerto Viejo
41002,410,La Virgen
41003,410,Horquetas
41004,410,Llanuras del Gaspar
41005,410,Cureña
50101,501,Liberia
50102,501,Cañas Dulces
50103,501,Mayorga
50104,501,Nacascolo
50105,501,Curubande
50201,502,Nicoya
50202,502,Mansion
50203,502,San Antonio
50204,502,Quebrada Honda
50205,502,Samara
50206,502,Nosara
50207,502,Belén de Nosarita
50301,503,Santa Cruz
50302,503,Bolson
50303,503,Veintisiete de Abril
50304,503,Tempate
50305,503,Cartagena
50306,503,Cuajiniquil
50307,503,Diria
50308,503,Cabo Velas
50309,503,Tamarindo
50401,504,Bagaces
50402,504,Fortuna
50403,504,Mogote
50404,504,Río Naranjo
50501,505,Filadelfia
50502,505,Palmira
50503,505,Sardinal
50504,505,Belén
50601,506,Cañas
50602,506,Palmira
50603,506,San Miguel
50604,506,Bebedero
50605,506,Porozal
50701,507,Juntas
50702,507,Sierra
50703,507,San Juan
50704,507,Colorado
50801,508,Tilarán
50802,508,Quebrada Grande
50803,508,Tronadora
50804,508,Santa Rosa
50805,508,Líbano
50806,508,Tierras Morenas
50807,508,Arenal
50901,509,Carmona
50902,509,Santa Rita
50903,509,Zapotal
50904,509,San Pablo
50905,509,Porvenir
50906,509,Bejuco
51001,510,La Cruz
51002,510,Santa Cecilia
51003,510,Garita
51004,510,Santa Elena
51101,511,Hojancha
51102,511,Monte Romo
51103,511,Puerto Carrillo
51104,511,Huacas
60101,601,Puntarenas
60102,601,Pitahaya
60103,601,Chomes
60104,601,Lepanto
60105,601,Paquera
60106,601,Manzanillo
60107,601,Guacimal
60108,601,Barranca
60109,601,Monte Verde
60110,601,Isla del Coco
60111,601,Cobano
60112,601,Chacarita
60113,601,Chira
60114,601,Acapulco
60115,601,El Roble
60116,601,Arancibia
60201,602,Espiritu Santo
60202,602,San Juan Grande
60203,602,Macacona
60204,602,San Rafael
60205,602,San Jerónimo
60301,603,Buenos Aires
60302,603,Volcan
60303,603,Potrero Grande
60304,603,Boruca
60305,603,Pilas
60306,603,Colinas
60307,603,Changena
60308,603,Briolley
60309,603,Brunka
60401,604,Miramar
60402,604,La Unión
60403,604,San Isidro
60501,605,Puerto Cortes
60502,605,Palmar
60503,605,Sierpe
60504,605,Bahia Ballena
60505,605,Piedras Blancas
60601,606,Quepos
60602,606,Savegre
60603,606,Naranjito
60701,607,Golfito
60702,607,Puerto Jiménez
60703,607,Guaycara
60704,607,Pavon
60801,608,San Vito
60802,608,Sabalito
60803,608,Aguabuena
60804,608,Limóncito
60805,608,Pittier
60901,609,Parrita
61001,610,Corredor
61002,610,La Cuesta
61003,610,Canoas
61004,610,Laurel
61101,611,Jacó
61102,611,Tarcoles
70101,701,Limón
70102,701,Valle La Estrella
70103,701,Río Blanco
70104,701,Matama
70201,702,Guapiles
70202,702,Jiménez
70203,702,Rita
70204,702,Roxana
70205,702,Cariari
70206,702,Colorado
70301,703,Siquirres
70302,703,Pacuarito
70303,703,Florida
70304,703,Germania
70305,703,Cairo
70306,703,Alegria
70401,704,Bratsi
70402,704,Sixaola
70403,704,Cahuita
70404,704,Telire
70501,705,Matina
70502,705,Battan
70503,705,Carrandi
70601,706,Guácimo
70602,706,Mercedes
70603,706,Pocora
70604,706,Río Jiménez
70605,706,Duacari
